Dates,"Delta Air Lines, Inc. (NYSE:DAL) - Total Revenue"
FQ3 2016,10.48b
FQ4 2016,9.46b
FQ1 2017,9.10b
FQ2 2017,10.75b
FQ3 2017,11.06b
FQ4 2017,10.23b
FQ1 2018,9.97b
FQ2 2018,11.78b
FQ3 2018,11.95b
FQ4 2018,10.74b
FQ1 2019,10.47b
FQ2 2019,12.54b
FQ3 2019,12.56b
FQ4 2019,11.44b
FQ1 2020,8.59b
FQ2 2020,1.47b
FQ3 2020,3.06b
FQ4 2020,3.97b
FQ1 2021,4.15b
FQ2 2021,7.13b
FQ3 2021,9.15b
FQ4 2021,9.47b
FQ1 2022,9.35b
FQ2 2022,13.82b
FQ3 2022,13.98b
FQ4 2022,13.44b
FQ1 2023,12.76b
FQ2 2023,15.58b
FQ3 2023,15.49b
FQ4 2023,14.22b
FQ1 2024,13.75b
FQ2 2024,16.66b
FQ3 2024,15.68b
FQ4 2024,15.56b
FQ1 2025,14.04b
FQ2 2025,16.65b
FQ3 2025,16.67b
FQ4 2025,16.00b
FQ1 2026,15.85b
FQ2 2026,19.76b
